iter	MAPE	RMSE
0	0.06429678635	0.7739812877
1	0.06198792102	0.7485795746
2	0.05971550388	0.723567379
3	0.05766954386	0.7008422586
4	0.0557183737	0.67931803
5	0.05384126441	0.658676942
6	0.0521192892	0.6404435413
7	0.05046577632	0.622166141
8	0.04896813329	0.605915741
9	0.04751696667	0.5895514392
10	0.04613415409	0.5746358214
11	0.04480501865	0.5600799643
12	0.04362073185	0.5469274304
13	0.04256706794	0.5349369483
14	0.04156425363	0.5232618264
15	0.04055104378	0.5122275056
16	0.03967120763	0.5024940717
17	0.03877558062	0.4927791351
18	0.03795100952	0.4837566095
19	0.03716192664	0.4749835303
20	0.0364449849	0.4667667362
21	0.03581596149	0.4595069436
22	0.03514755781	0.4518840481
23	0.03452786561	0.4447023542
24	0.0339285368	0.4379521395
25	0.03339978951	0.4318433303
26	0.03289856645	0.4262547111
27	0.03249312536	0.4214910932
28	0.03215838118	0.4172544974
29	0.03176462252	0.4125359036
30	0.03134608594	0.4076405677
31	0.03095468785	0.403139144
32	0.03062493438	0.3993233613
33	0.03030710737	0.3955993415
34	0.02998104732	0.3915779462
35	0.02968077601	0.3882457264
36	0.02932540564	0.3844776033
37	0.02896517721	0.3806759583
38	0.0286853572	0.3776016475
39	0.02841482626	0.3745937037
40	0.02815242989	0.3715950757
41	0.02792464715	0.3689074325
42	0.02771597868	0.3665168157
43	0.02750582174	0.3641222603
44	0.02727790031	0.3614647692
45	0.02710146264	0.3594217112
46	0.02691330802	0.3572162667
47	0.02675387419	0.3551990962
48	0.02661312405	0.3534095079
49	0.02647980018	0.3515516936
50	0.02632412191	0.3496079451
51	0.02618738491	0.3479201273
52	0.02602957279	0.3460037628
53	0.02591904328	0.3444817795
54	0.02578538911	0.3427884239
55	0.02568309021	0.3414911912
56	0.02556605047	0.3400830172
57	0.02543838911	0.3386644267
58	0.02534605966	0.3374915008
59	0.02523608195	0.3362165377
60	0.02512450752	0.3349142568
61	0.02505999009	0.3339035765
62	0.02498351427	0.3328223095
63	0.02489872376	0.3317720782
64	0.02483112275	0.3308722529
65	0.02474487265	0.329868447
66	0.02468150419	0.3290526728
67	0.02460917803	0.3281835145
68	0.02453847087	0.3272471346
69	0.0244860195	0.3265347614
70	0.02440917095	0.3256280488
71	0.02437418901	0.3251291862
72	0.02432108087	0.324482115
73	0.02424924548	0.3236312333
74	0.02418363774	0.3228356312
75	0.02411791951	0.3220540163
76	0.02407601089	0.3214674931
77	0.02401380882	0.3206631646
78	0.02397094414	0.320082535
79	0.02391457147	0.3193997767
80	0.02385553662	0.3186627805
81	0.02380649259	0.3180887231
82	0.02375606455	0.3174921893
83	0.02371612206	0.3169645822
84	0.02365571463	0.3162547641
85	0.02358913081	0.3154768961
86	0.023551838	0.3148692699
87	0.02348594052	0.3141788838
88	0.02344293865	0.3136110692
89	0.02339667022	0.3130254081
90	0.02333561586	0.3123339083
91	0.02329665875	0.3119228972
92	0.02325173559	0.3114393178
93	0.02322069027	0.310988497
94	0.02317411331	0.3104698157
95	0.02313184093	0.3098537945
96	0.02309379867	0.3093459271
97	0.02306272165	0.3089372541
98	0.02301627858	0.3083935588
99	0.02299905371	0.3081520384
100	0.02297073258	0.3077587794
101	0.02294626727	0.3073180173
102	0.0229186265	0.306932143
103	0.02287785775	0.3064276842
104	0.02284442844	0.306040017
105	0.02279265315	0.305479447
106	0.02275266656	0.3050523505
107	0.02272091855	0.3046818421
108	0.02270138985	0.3044461262
