iter	MAE
0	0.6558994791
1	0.6308998047
2	0.6082672258
3	0.5856020264
4	0.5645549259
5	0.5453626796
6	0.5266495505
7	0.5089080611
8	0.4930004368
9	0.4776282298
10	0.4633281907
11	0.449447025
12	0.4371408651
13	0.4258746334
14	0.4147027669
15	0.4047121629
16	0.3949998472
17	0.3860142588
18	0.3771645374
19	0.3689615237
20	0.3610664161
21	0.3542787851
22	0.3478065844
23	0.3415002561
24	0.3356990864
25	0.3302053011
26	0.324751786
27	0.3196420438
28	0.3149427656
29	0.3109699835
30	0.3069260452
31	0.3033687191
32	0.2998123923
33	0.2964453756
34	0.2932906505
35	0.2904987478
36	0.2881733401
37	0.2850078999
38	0.2828834762
39	0.2801060996
40	0.2779863553
41	0.2761121377
42	0.2736974976
43	0.2717498151
44	0.269874405
45	0.2679495241
46	0.266269991
47	0.2644793297
48	0.2630932156
49	0.2614312992
50	0.2600994005
51	0.2585654465
52	0.2571869134
53	0.2558247234
54	0.2545441005
55	0.2533087379
56	0.2521468272
57	0.2509489484
58	0.2497776466
59	0.2488599525
60	0.2476818718
61	0.2467311436
62	0.2455379936
63	0.2447629308
64	0.2440663081
65	0.2433437031
66	0.2425396107
67	0.2417892534
68	0.2409079736
69	0.240270176
70	0.2396330494
71	0.2388929799
72	0.2382032431
73	0.2375024275
74	0.236625678
75	0.2358906236
76	0.2353424984
77	0.234758305
78	0.233991699
79	0.2333143823
80	0.2327554811
81	0.2319513643
82	0.2313109702
83	0.2307179067
84	0.2303348847
85	0.2298854169
86	0.2294679736
87	0.2289768301
88	0.2285492883
89	0.2278563418
90	0.2274237002
91	0.2270533234
92	0.2267162154
93	0.2263889342
94	0.226100925
95	0.2256405519
96	0.2252831826
97	0.2250180865
98	0.2245829179
99	0.2240803162
100	0.2235728063
101	0.2232654024
102	0.2228344646
103	0.222557942
104	0.2223008033
105	0.2219413158
106	0.2215587327
107	0.2212917034
108	0.2210372088
109	0.2208267422
110	0.2204076789
111	0.2200229174
112	0.2197799047
113	0.2194341203
114	0.2192016346
115	0.2187745448
116	0.2184468245
117	0.218182304
118	0.2180036612
119	0.2176906016
120	0.2174149393
121	0.2171485493
122	0.2169719445
123	0.2167405763
124	0.2163987341
125	0.2161400702
126	0.2157949094
127	0.2154640541
128	0.215186926
129	0.2149804402
130	0.2147363644
131	0.2144710118
132	0.2142663527
133	0.2140575902
134	0.2137354461
135	0.2135286273
136	0.2133241685
137	0.2130603752
138	0.2128761301
139	0.2125870727
140	0.2123932736
141	0.2122130537
142	0.2119830435
143	0.2116748891
144	0.2113893775
145	0.2112457372
146	0.2110374263
147	0.2108584823
148	0.2106579245
149	0.2105149263
150	0.2103477714
151	0.2101678193
152	0.2099968616
153	0.2098214812
154	0.2096459836
155	0.2094286586
156	0.2092836502
157	0.2091552321
158	0.209005599
159	0.2087818661
160	0.2085664033
161	0.2084281577
162	0.2082493641
163	0.2080133766
164	0.2078525069
165	0.2074815419
166	0.2073048443
167	0.2071712742
168	0.2069727917
169	0.2068489737
170	0.20672309
171	0.2065248394
172	0.206337935
173	0.2061481034
174	0.2058958591
175	0.2056771037
176	0.2055085004
177	0.2053768886
178	0.2051841824
179	0.2049880139
180	0.2046424357
181	0.2045054472
182	0.2043055045
183	0.2041533634
184	0.2040016864
185	0.2038373695
186	0.2036393561
187	0.2034997982
188	0.203346598
189	0.2031391254
190	0.2029777843
191	0.2028492106
192	0.2027192801
193	0.2025749733
194	0.2024460641
195	0.202332905
196	0.2021122733
197	0.2018871211
198	0.2017636464
199	0.2015868707
200	0.2014286099
201	0.2012645203
202	0.201141239
203	0.2009640326
204	0.200802274
205	0.2006844256
206	0.2005049816
207	0.2003889198
208	0.2002632753
209	0.2001138925
210	0.1999480103
211	0.1998159491
212	0.1996428312
213	0.1995148831
214	0.1993887719
215	0.1992550078
216	0.1990470737
217	0.1989476461
218	0.1987351468
219	0.1986207837
220	0.198486278
221	0.1983882191
222	0.1982371589
223	0.1981140347
224	0.1979719861
225	0.1978499403
226	0.1977416805
227	0.1976385037
228	0.1974821225
229	0.1973811886
230	0.1972630218
231	0.1970602038
232	0.1969202564
233	0.1968142019
234	0.1967052746
235	0.1965891205
236	0.1964831858
237	0.1963458298
238	0.1962409868
239	0.1961228493
240	0.1960060598
241	0.1958708438
242	0.1957915826
243	0.1956397683
244	0.1954885048
245	0.1953669882
246	0.1952073355
247	0.1951083939
248	0.1949503989
249	0.1948422658
250	0.1947345498
251	0.19464916
252	0.194508581
253	0.1943958572
254	0.1942609713
255	0.1941607879
256	0.1940306035
257	0.1939332678
258	0.193837503
259	0.1937322674
260	0.1936496994
261	0.1935291244
262	0.1934600252
263	0.1933875258
264	0.1932744773
265	0.19315008
266	0.1930481208
267	0.192967179
268	0.1928926298
269	0.1928017835
270	0.1927178056
271	0.1926302227
272	0.1925381941
273	0.1924446977
274	0.1923565061
275	0.1922626986
276	0.1921978628
277	0.1921142187
278	0.1920194723
279	0.1919354908
280	0.1918411707
281	0.1917510184
282	0.1916883806
283	0.1916135008
284	0.1915107245
285	0.1914491425
286	0.1913659034
287	0.1912518493
288	0.1911915276
289	0.1910143612
290	0.190954683
291	0.1908764041
292	0.1907862037
293	0.1907211044
294	0.1906322149
295	0.1905179794
296	0.190449067
297	0.1903763595
298	0.1902849478
299	0.1901186688
300	0.1899830541
301	0.189890174
302	0.1898138056
303	0.1897234546
304	0.1896241319
305	0.1895609673
306	0.18947454
307	0.1893964273
308	0.1893067778
309	0.1892203126
310	0.1891538696
311	0.1890490155
312	0.1889747107
313	0.1888944415
314	0.1888204939
315	0.1887080411
316	0.1886105791
317	0.1885539386
318	0.1884788036
319	0.1883570234
320	0.1882801349
321	0.1882215601
322	0.1881095166
323	0.1880031425
324	0.1878626072
325	0.1877725569
326	0.1876796995
327	0.1875903752
328	0.1875312919
329	0.1874713853
330	0.1874048334
331	0.187293224
332	0.1872266555
333	0.1871344412
334	0.187053502
335	0.1869992279
336	0.1869546813
337	0.186889644
338	0.1868287038
339	0.186679184
340	0.1866214339
341	0.1865070729
342	0.1864386866
343	0.1863462047
344	0.1862566693
345	0.1861840529
346	0.1861033329
347	0.1860244633
348	0.1859384428
349	0.1858636721
350	0.1857864103
351	0.1856520935
352	0.1855692436
353	0.1855129775
354	0.1854307704
355	0.1853047571
356	0.1852298613
357	0.1851593991
358	0.1850828267
359	0.1850222818
360	0.1849429529
361	0.1848620632
362	0.1847964685
363	0.1847116734
364	0.184653204
