iter	Passed	Remaining
0	7	19836
1	14	18904
2	21	18975
3	27	18412
4	33	18228
5	40	17943
6	46	17646
7	51	17383
8	57	17043
9	62	16809
10	68	16608
11	73	16394
12	79	16304
13	84	16197
14	90	16075
15	97	16279
16	104	16460
17	111	16573
18	117	16526
19	123	16434
20	129	16437
21	135	16374
22	141	16441
23	147	16397
24	154	16415
25	159	16357
26	165	16316
27	172	16369
28	178	16356
29	184	16337
30	189	16289
31	195	16196
32	200	16162
33	206	16124
34	212	16088
35	217	16019
36	222	15925
37	227	15859
38	233	15857
39	240	15895
40	247	15991
41	253	15986
42	259	15954
43	264	15915
44	270	15875
45	277	15919
46	283	15961
47	290	15980
48	296	15961
49	302	15959
50	308	15940
51	314	15931
52	319	15909
53	325	15883
54	331	15875
55	338	15907
56	344	15928
57	351	15932
58	357	15917
59	363	15924
60	369	15918
61	376	15933
62	382	15956
63	388	15934
64	394	15927
65	400	15926
66	407	15935
67	414	15987
68	420	15982
69	425	15934
70	431	15905
71	436	15863
72	441	15810
73	445	15758
74	451	15741
75	456	15709
76	461	15657
77	466	15607
78	471	15567
79	476	15543
80	482	15523
81	487	15509
82	493	15480
83	497	15443
84	502	15395
85	507	15351
86	512	15331
87	517	15302
88	522	15258
89	528	15271
90	534	15270
91	541	15286
92	547	15286
93	553	15270
94	559	15276
95	566	15290
96	571	15271
97	577	15261
98	582	15237
99	588	15243
100	595	15249
101	602	15270
102	608	15277
103	615	15286
104	621	15291
105	627	15298
106	634	15314
107	641	15321
108	648	15338
109	653	15310
110	658	15299
111	664	15299
112	669	15272
113	675	15249
114	680	15230
115	685	15204
116	690	15179
117	695	15155
118	700	15122
119	704	15091
120	709	15060
121	714	15030
122	718	14998
123	723	14973
124	728	14942
125	733	14911
126	738	14901
127	745	14905
128	750	14894
129	755	14875
130	760	14846
131	765	14826
132	770	14813
133	775	14788
134	781	14776
135	786	14762
136	791	14739
137	796	14724
138	801	14706
139	806	14685
140	811	14671
141	817	14659
142	822	14647
143	828	14646
144	834	14644
145	839	14625
146	844	14610
147	850	14593
148	855	14577
149	860	14564
150	866	14562
151	873	14571
152	878	14567
153	884	14562
154	890	14557
155	896	14550
156	901	14541
157	907	14543
158	913	14534
159	918	14519
160	923	14499
161	928	14477
162	933	14470
163	939	14464
164	944	14455
165	951	14466
166	957	14460
167	963	14459
168	970	14465
169	975	14451
170	981	14449
171	987	14445
172	992	14437
173	997	14422
174	1003	14412
175	1008	14404
176	1014	14391
177	1019	14380
178	1024	14362
179	1029	14346
180	1034	14336
181	1040	14325
182	1045	14314
183	1050	14295
184	1054	14276
185	1059	14256
186	1064	14242
187	1069	14230
188	1074	14216
